time,downloaded,total,chunk_size,speed_kbps
1768152613.340138,1369,30424618,8192,1336.9140625
1768152613.3423517,9561,30424618,8192,2518.8525141826644
1768152613.3424442,17753,30424618,8192,4345.901676121776
1768152613.343271,25945,30424618,8192,5259.426257091332
1768152613.3434157,34137,30424618,8192,5807.541005673066
1768152613.3434856,42329,30424618,8192,6172.950838060889
1768152613.3436677,50521,30424618,8192,6433.957861195047
1768152613.3437145,54694,30424618,8192,6139.112542608166
1768152613.3444283,58923,30424618,8192,5915.86479481837
1768152613.518715,63152,30424618,8192,5326.648614028075
1768152613.5215032,67381,30424618,8192,5343.820506515823
1768152613.522086,71610,30424618,8192,5386.729691179289
1768152613.5237665,75839,30424618,8192,4838.459729895936
1768152613.524113,80068,30424618,8192,4451.448011145936
1768152613.5272613,88260,30424618,8192,3909.38771906678
1768152613.527311,92755,30424618,8192,3548.35256281678
1768152613.527826,96984,30424618,8192,3161.34084406678
1768152613.529247,105176,30424618,8192,3339.1300931115525
1768152613.5293067,105442,30424618,8192,2952.1183743615525
1768152613.5336282,113634,30424618,8192,3136.9000919678288
1768152613.5337086,121826,30424618,8192,3786.036793230082
1768152613.5337439,122358,30424618,8192,3425.001636980082
1768152613.5341504,126587,30424618,8192,3586.259879513435
1768152613.7041063,131072,30424618,8192,3175.849387374264
1768152613.7045653,135301,30424618,8192,3330.8979607034207
1768152613.7056148,139530,30424618,8192,3304.9213982034207
1768152613.7062383,143759,30424618,8192,3304.9213982034207
1768152613.707524,147988,30424618,8192,3053.9619769362935
1768152613.7078943,152217,30424618,8192,3440.9736956862935
1768152613.708795,156446,30424618,8192,3666.809960638475
1768152613.7093732,160675,30424618,8192,3279.798241888475
1768152613.714152,168867,30424618,8192,3396.9461401051003
1768152613.714289,177059,30424618,8192,3783.9578588551003
1768152613.7143238,177591,30424618,8192,3833.3331947442703
1768152613.7173743,185783,30424618,8192,3687.2963281843863
1768152613.7175262,193975,30424618,8192,4074.3080469343863
1768152613.717581,194507,30424618,8192,3713.2728906843863
1768152613.7183478,202699,30424618,8192,4178.923531656741
1768152613.718386,202965,30424618,8192,3791.9118129067406
1768152613.7188861,207194,30424618,8192,3791.9118129067406
1768152613.7200336,211423,30424618,8192,3751.4548856846836
1768152613.7208827,215652,30424618,8192,3995.3421437180587
1768152613.722004,219881,30424618,8192,3581.9991350688165
1768152613.7259011,228073,30424618,8192,3738.0705535677093
1768152613.726052,236265,30424618,8192,4271.119138877593
1768152613.7297647,244457,30424618,8192,3689.5253157259044
1768152613.7298596,252649,30424618,8192,4437.572190725905
1768152613.89963,260841,30424618,8192,3642.285814515652
1768152613.899924,269033,30424618,8192,4416.3092520156515
1768152613.9000454,277225,30424618,8192,4803.3209707656515
1768152613.9000854,278528,30424618,8192,4558.035710487709
1768152613.9020169,286720,30424618,8192,4570.104596125999
1768152613.9020867,294912,30424618,8192,4983.447604775241
1768152613.9021444,303104,30424618,8192,5575.423061276348
1768152613.9022017,311296,30424618,8192,5575.423061276348
1768152613.9027998,319488,30424618,8192,6157.016884428036
1768152613.9028635,327680,30424618,8192,6157.016884428036
1768152613.9073284,335872,30424618,8192,6333.2455165430365
1768152613.9074104,344064,30424618,8192,6333.2455165430365
1768152613.9090214,352256,30424618,8192,6043.417002402077
1768152613.909102,360448,30424618,8192,6716.170908652077
1768152613.9123588,368640,30424618,8192,6540.055736518722
1768152613.9124355,376832,30424618,8192,6540.055736518722
1768152613.9153373,385024,30424618,8192,6019.385353081437
1768152613.9154103,393216,30424618,8192,6019.385353081437
1768152613.918146,401408,30424618,8192,5516.661572446656
1768152613.918231,409600,30424618,8192,5516.661572446656
1768152613.9205725,417792,30424618,8192,5683.077231747718
1768152613.9206579,425984,30424618,8192,5683.077231747718
1768152613.924243,434176,30424618,8192,5399.02858409412
1768152613.9245276,442368,30424618,8192,5399.02858409412
1768152613.9273117,450560,30424618,8192,5443.341715884942
1768152613.9274886,458752,30424618,8192,5443.341715884942
1768152613.9316037,466944,30424618,8192,5361.586869912941
1768152613.931763,475136,30424618,8192,5361.586869912941
1768152613.9336123,483328,30424618,8192,5508.113991058687
1768152613.9338164,491520,30424618,8192,5508.113991058687
1768152613.937671,499712,30424618,8192,5372.940785209794
1768152613.9378414,507904,30424618,8192,5372.940785209794
1768152614.095631,516096,30424618,8192,5151.8895420835115
1768152614.0957003,524288,30424618,8192,5151.8895420835115
1768152614.096929,532480,30424618,8192,5525.968389563194
1768152614.096986,540672,30424618,8192,5525.968389563194
1768152614.100557,548864,30424618,8192,5554.529255765344
1768152614.1006296,557056,30424618,8192,5554.529255765344
1768152614.1024795,565248,30424618,8192,5550.673151504259
1768152614.102548,573440,30424618,8192,5550.673151504259
1768152614.1062264,581632,30424618,8192,5558.353225351081
1768152614.1063,589824,30424618,8192,5558.353225351081
1768152614.1091251,598016,30424618,8192,5840.091947775698
1768152614.109201,606208,30424618,8192,5840.091947775698
1768152614.1116426,614400,30424618,8192,5504.694429731633
1768152614.111714,622592,30424618,8192,5504.694429731633
1768152614.1152706,630784,30424618,8192,5505.760509845654
1768152614.115336,638976,30424618,8192,5505.760509845654
1768152614.117937,647168,30424618,8192,5377.582566627206
1768152614.1180048,655360,30424618,8192,5377.582566627206
1768152614.1263933,663552,30424618,8192,5253.567491187032
1768152614.126469,671744,30424618,8192,5253.567491187032
1768152614.1265357,679936,30424618,8192,5766.757173683256
1768152614.1265948,688128,30424618,8192,5766.757173683256
1768152614.1270154,696320,30424618,8192,6234.820717701882
1768152614.127077,704512,30424618,8192,6234.820717701882
1768152614.1318882,712704,30424618,8192,6175.372567015927
1768152614.1319625,720896,30424618,8192,6175.372567015927
1768152614.1338484,729088,30424618,8192,6296.292983207493
1768152614.133927,737280,30424618,8192,6296.292983207493
1768152614.1362636,745472,30424618,8192,6547.816256050138
1768152614.1363308,753664,30424618,8192,6547.816256050138
1768152614.1403642,761856,30424618,8192,5948.146794440227
1768152614.1404293,770048,30424618,8192,5948.146794440227
1768152614.1424978,778240,30424618,8192,5541.712004293636
1768152614.1425786,786432,30424618,8192,5541.712004293636
1768152614.1497815,794624,30424618,8192,5485.69028469779
1768152614.1499636,802816,30424618,8192,5485.69028469779
1768152614.150549,811008,30424618,8192,5853.000575474793
1768152614.1507785,819200,30424618,8192,5853.000575474793
1768152614.1513138,827392,30424618,8192,6305.627594868583
1768152614.1533642,835584,30424618,8192,5906.007963403108
1768152614.1542475,843776,30424618,8192,6505.677425013018
1768152614.1543176,851968,30424618,8192,6505.677425013018
1768152614.1623478,860160,30424618,8192,6212.239877058909
1768152614.1624172,868352,30424618,8192,6212.239877058909
1768152614.162471,876544,30424618,8192,6900.5080304338235
1768152614.162543,884736,30424618,8192,6900.5080304338235
1768152614.1647813,892928,30424618,8192,6470.844124509392
1768152614.1648588,901120,30424618,8192,6470.844124509392
1768152614.166368,909312,30424618,8192,6213.290538068256
1768152614.1664364,917504,30424618,8192,6612.910169533732
1768152614.1698954,925696,30424618,8192,6046.999427766263
1768152614.1699636,933888,30424618,8192,6046.999427766263
1768152614.172912,942080,30424618,8192,6221.51214184259
1768152614.1729834,950272,30424618,8192,6221.51214184259
1768152614.1752565,958464,30424618,8192,5778.511569641711
1768152614.175327,966656,30424618,8192,5778.511569641711
1768152614.1780677,974848,30424618,8192,5703.411132881202
1768152614.1781313,983040,30424618,8192,5703.411132881202
1768152614.1817136,991232,30424618,8192,5386.494714698807
1768152614.1817873,999424,30424618,8192,5386.494714698807
1768152614.1849227,1007616,30424618,8192,5410.2287834720355
1768152614.1849864,1015808,30424618,8192,5410.2287834720355
1768152614.1880786,1024000,30424618,8192,5397.3770698124445
1768152614.1881478,1032192,30424618,8192,5397.3770698124445
1768152614.2825556,1040384,30424618,8192,5048.85515488712
1768152614.282622,1048576,30424618,8192,5048.85515488712
1768152614.287654,1056768,30424618,8192,4914.162128169998
1768152614.2877374,1064960,30424618,8192,4914.162128169998
1768152614.2902555,1073152,30424618,8192,5009.904372771882
1768152614.2903152,1081344,30424618,8192,5009.904372771882
1768152614.2933493,1089536,30424618,8192,5018.499051418322
1768152614.2934055,1097728,30424618,8192,5018.499051418322
1768152614.2992988,1105920,30424618,8192,4893.066278652064
1768152614.2993512,1114112,30424618,8192,4893.066278652064
1768152614.3002605,1122304,30424618,8192,5684.588765778268
1768152614.3003318,1130496,30424618,8192,5684.588765778268
1768152614.3018916,1138688,30424618,8192,6046.273387047921
1768152614.3019466,1146880,30424618,8192,6046.273387047921
1768152614.304833,1155072,30424618,8192,6005.221122795613
1768152614.3048973,1163264,30424618,8192,6005.221122795613
1768152614.312934,1171456,30424618,8192,5838.75813811202
1768152614.312993,1179648,30424618,8192,5838.75813811202
1768152614.3173084,1187840,30424618,8192,5889.209024828489
1768152614.3187237,1196032,30424618,8192,5671.662667929167
1768152614.3199635,1204224,30424618,8192,5534.408093783958
1768152614.3200192,1212416,30424618,8192,5534.408093783958
1768152614.3231435,1220608,30424618,8192,5270.603820737704
1768152614.323201,1228800,30424618,8192,5270.603820737704
1768152614.3255312,1236992,30424618,8192,5337.72666101086
1768152614.3255863,1245184,30424618,8192,5337.72666101086
1768152614.3291209,1253376,30424618,8192,5465.899837698917
1768152614.3291757,1261568,30424618,8192,5465.899837698917
1768152614.3323996,1269760,30424618,8192,5529.429450734074
1768152614.3324573,1277952,30424618,8192,5746.9758076333965
1768152614.3352637,1286144,30424618,8192,5372.622601944744
1768152614.335318,1294336,30424618,8192,5372.622601944744
1768152614.3380847,1302528,30424618,8192,5406.607972007007
1768152614.3381732,1310720,30424618,8192,5406.607972007007
1768152614.341731,1318912,30424618,8192,5286.202630413575
1768152614.3417926,1327104,30424618,8192,5286.202630413575
