time,downloaded,total,chunk_size,speed_kbps
1768055700.3281696,3144,30424618,8192,3070.3125
1768055700.32888,8620,30424618,8192,5347.65625
1768055700.3337784,12727,30424618,8192,820.6457806217335
1768055700.341745,19122,30424618,8192,785.4999289471922
1768055700.346179,25967,30424618,8192,1514.4706071355276
1768055700.351381,32768,30424618,8192,1280.950749778526
1768055700.3574445,39613,30424618,8192,1105.691806568785
1768055700.3621309,46458,30424618,8192,1431.3855253225265
1768055700.3672452,53303,30424618,8192,1311.0599454419346
1768055700.3738077,58901,30424618,8192,835.199276227689
1768055700.3785167,63130,30424618,8192,880.2529627509678
1768055700.3883848,71322,30424618,8192,812.0508403945288
1768055700.388406,73994,30424618,8192,2609.375
1768055700.3994865,82186,30424618,8192,722.87632593248
1768055700.3995154,86149,30424618,8192,3870.1171875
1768055700.4558673,94341,30424618,8192,141.9930139029183
1768055700.455895,102533,30424618,8192,8000.0
1768055700.455912,110725,30424618,8192,8000.0
1768055700.455929,118917,30424618,8192,8000.0
1768055700.4559472,127109,30424618,8192,8000.0
1768055700.4563944,135301,30424618,8192,8000.0
1768055700.4564402,143493,30424618,8192,8000.0
1768055700.4564598,151685,30424618,8192,8000.0
1768055700.456466,155914,30424618,8192,4129.8828125
1768055700.4609654,164106,30424618,8192,1781.1024661381255
1768055700.4609797,164372,30424618,8192,259.765625
1768055700.465757,168601,30424618,8192,866.1848668675703
1768055700.473616,172830,30424618,8192,526.2203807209096
1768055700.4870267,181022,30424618,8192,597.0951303688771
1768055700.4870522,189214,30424618,8192,8000.0
1768055700.4870603,189746,30424618,8192,519.53125
1768055700.4951284,197938,30424618,8192,992.9377305975282
1768055700.4951441,198204,30424618,8192,259.765625
1768055700.5005577,206396,30424618,8192,1480.4944711663427
1768055700.5005713,206662,30424618,8192,259.765625
1768055700.505573,212992,30424618,8192,1237.9126641225605
1768055700.5121741,217221,30424618,8192,626.9081501363754
1768055700.5725121,225413,30424618,8192,132.61412254554105
1768055700.5725362,233605,30424618,8192,8000.0
1768055700.5725489,241797,30424618,8192,8000.0
1768055700.5725603,249989,30424618,8192,8000.0
1768055700.572573,258181,30424618,8192,8000.0
1768055700.5727704,266373,30424618,8192,8000.0
1768055700.5728621,274565,30424618,8192,8000.0
1768055700.5728934,282757,30424618,8192,8000.0
1768055700.6247265,290949,30424618,8192,154.38233543328232
1768055700.6247714,299141,30424618,8192,8000.0
1768055700.6247985,307333,30424618,8192,8000.0
1768055700.6248248,315525,30424618,8192,8000.0
1768055700.6248481,323717,30424618,8192,8000.0
1768055700.624872,331909,30424618,8192,8000.0
1768055700.6248958,340101,30424618,8192,8000.0
1768055700.6249092,344064,30424618,8192,3870.1171875
1768055700.6351492,352256,30424618,8192,782.3654836118287
1768055700.6351888,360448,30424618,8192,8000.0
1768055700.648279,368640,30424618,8192,611.9623333959489
1768055700.6483622,376832,30424618,8192,8000.0
1768055700.6769633,385024,30424618,8192,279.8602101289699
1768055700.6769977,393216,30424618,8192,8000.0
1768055700.6771705,401408,30424618,8192,8000.0
1768055700.6772387,409600,30424618,8192,8000.0
1768055700.6932046,417792,30424618,8192,501.4416428287312
1768055700.6932435,425984,30424618,8192,8000.0
1768055700.6999557,434176,30424618,8192,1193.9051085958956
1768055700.6999924,442368,30424618,8192,8000.0
1768055700.7171667,450560,30424618,8192,466.1651522831779
1768055700.7171967,458752,30424618,8192,8000.0
1768055700.7304487,466944,30424618,8192,604.1337846870665
1768055700.7304811,475136,30424618,8192,8000.0
1768055700.7476127,483328,30424618,8192,467.2515101987054
1768055700.7476468,491520,30424618,8192,8000.0
1768055700.7689219,499712,30424618,8192,376.22272419090956
1768055700.7689521,507904,30424618,8192,8000.0
1768055700.786218,516096,30424618,8192,463.6229797856008
1768055700.7862477,524288,30424618,8192,8000.0
1768055700.7957523,532480,30424618,8192,842.7173428478383
1768055700.7957933,540672,30424618,8192,8000.0
1768055700.7981722,548864,30424618,8192,3382.3776945652276
1768055700.7981977,552000,30424618,8192,3062.5
1768055700.8232288,560192,30424618,8192,319.72375776092065
1768055700.8232577,568384,30424618,8192,8000.0
1768055700.8390188,576576,30424618,8192,507.93973231446193
1768055700.8390489,584768,30424618,8192,8000.0
1768055700.8467786,592960,30424618,8192,1036.3634023273291
